Unnamed: 0,userName,text,tweetcreatedts,tweet_clean,tweet_english
46,Al Fatir,Ni apk berfungsi ga si.??? Dh dftr buat email tp mo msk ga bs ketrngan username atw pass slh gmn si. Msk lwt fb jg gk bs. Ap gunay ni apk klo gk bs dpke oon. Msk dbkin mudah aj pke no hp mang gk bs y.. Dh isi data apk gk bs dpke tolol. Gmn mo lapor msk ke apk aj gk bs. Apk kemensos gk brguna. Mo lapor jg apky gk brguna. Apaan kya gni dodol.,27/09/2022 10:27,Ni apk berfungsi ga si.??? Dh dftr buat email tp mo msk ga bs ketrngan username atw pass slh gmn si. Msk lwt fb jg gk bs. Ap gunay ni apk klo gk bs dpke oon. Msk dbkin mudah aj pke no hp mang gk bs y.. Dh isi data apk gk bs dpke tolol. Gmn mo lapor msk ke apk aj gk bs. Apk kemensos gk brguna. Mo lapor jg apky gk brguna. Apaan kya gni dodol.,This is the APK to function or not. ???DH DFTR for email but you can't use username or pass.Msk lwt fb too bs.Ap Gunay ni apk if you don't bs dpke oon.Msk dbkin is easy to use mang mang no bs y .. dh fill in the data apk not bs dpke stupid.How come you report it to the apk aj bs.APK of the Ministry of Social Affairs.Mo report too apky not useful.What is Kya Gni Dodol.
47,ubaedillah 92,Sangat membantu,27/09/2022 08:01,Sangat membantu,Very helpful
48,Azmiadra DJiwan Kwok ll,Masak udah 1 hri gk selesai2 duwonlod aplikasi nya..,27/09/2022 04:31,Masak udah hri gk selesai2 duwonlod aplikasi nya..,Cook already HRI can't finish the application duwonlod ..
49,Hy Dy,"Aplikasi tidak berfungsi baik, laporan dianggurin teros tanpa tindakan meski udah didisposisi, kolom komentar isinya internal server error. Dah lah report aja",24/09/2022 19:21,"Aplikasi tidak berfungsi baik, laporan dianggurin teros tanpa tindakan meski udah didisposisi, kolom komentar isinya internal server error. Dah lah report aja","The application is not functioning well, reports are unemployed teros without action even though it has been disposed of, the comments column of the contents of the internal server error.Just report it"
50,Anugrah Podomoro,Aplikasi ciri khas project mainan pemerintah rating nya ma rumah makan padang masih gedean rating rumah makan padang kelaut aja lah,23/09/2022 00:02,Aplikasi ciri khas project mainan pemerintah rating nya ma rumah makan padang masih gedean rating rumah makan padang kelaut aja lah,Application characteristic of the government toy project rating ma rah Padang is still a rating of Padang Standing Restaurants.
51,Gerald Evan,Laporan sudah jelas dan lengkap tapi malah diarsipkan oleh admin. Udah responnya lama malah dibilang tidak jelas. Gak berguna banget aplikasi. Melaporkan permasalahan tapi tidak ingin menyelesaikan masalah.,16/09/2022 08:50,Laporan sudah jelas dan lengkap tapi malah diarsipkan oleh admin. Udah responnya lama malah dibilang tidak jelas. Gak berguna banget aplikasi. Melaporkan permasalahan tapi tidak ingin menyelesaikan masalah.,The report is clear and complete but instead archived by the admin.Already a long response was even said to be unclear.Very useful application.Report problems but do not want to solve the problem.
52,Devina Farisha,Ngga guna responnya lelet,16/09/2022 05:48,Ngga guna responnya lelet,Not to respond to slow response
53,Regi Novemda,Tidak ada tindak lanjut. Aplikasi gx bermanfaat,13/09/2022 00:37,Tidak ada tindak lanjut. Aplikasi gx bermanfaat,There is no follow -up.GX application is useful
54,Eko Suhardi,"Padahal aplikasi bagus dan sangat membantu masyarakat.Tapi dlm bbrp minggu ini sering error... Hayo dunk bapak Admin, terus semangat. Terima kasih Admin SPAN LAPOR mau mendengarkan keluhan masy. Biasa spt saya",11/09/2022 14:58,"Padahal aplikasi bagus dan sangat membantu masyarakat.Tapi dlm bbrp minggu ini sering error... Hayo dunk bapak Admin, terus semangat. Terima kasih Admin SPAN LAPOR mau mendengarkan keluhan masy. Biasa spt saya","Even though the application is good and very helpful to the community. But in some weeks this week is often error ... Hayo dunk, admin admin, continue to be enthusiastic.Thank you Admin Span reports to listen to the community's complaints.Usually like me"
55,akbarudin rizky,Aplikasi ga ada gunanya...tidak menyelesaikan masalah.... aplikasi lapor kok malah masalahnya cuman di teruskan saja...aplikasi apa sekretaris,11/09/2022 10:38,Aplikasi ga ada gunanya...tidak menyelesaikan masalah.... aplikasi lapor kok malah masalahnya cuman di teruskan saja...aplikasi apa sekretaris,The application is useless ... not solving the problem .... the application reports how come the problem is just continuing ... what application is the secretary
56,Sololololol lol,"Sering Internal server error : server error, sangat lelet sekali, mau baca pengaduan aspirasi masyarakat/rakyat sangat banyak loadingnya, mohon dibenahi",08/09/2022 08:12,"Sering Internal server error : server error, sangat lelet sekali, mau baca pengaduan aspirasi masyarakat/rakyat sangat banyak loadingnya, mohon dibenahi","Often internal server error: server error, very slow, want to read the complaints of the aspirations of the people/people is very much loading, please fix"
57,Yogie Irawan,"Aplikasi asal bikin, laporan ya hanya sebatas cerpen doank, gak ditanggapi",08/09/2022 00:20,"Aplikasi asal bikin, laporan ya hanya sebatas cerpen doank, gak ditanggapi","The original application of making, reports that are only limited to short stories, not responded"
58,MEGA BUANA PITALOKA,maaf saya kasih bintang 3 aja sbb aplikasinya sering eror,06/09/2022 04:18,maaf saya kasih bintang aja sbb aplikasinya sering eror,sorry I just give the star as the application is often error
59,Pgcnt,Mantap... Laporan mendapatkan respon dan penyelesaian. Thanks a lot ??????,05/09/2022 10:18,Mantap... Laporan mendapatkan respon dan penyelesaian. Thanks a lot ??????,Great ... Reports get responses and settlement.Thanks a lot ??????
60,Yudi Kusnawan,Tidak bisa kirim laporan,05/09/2022 08:19,Tidak bisa kirim laporan,Can't send a report
61,LATANI ASEP ARANDI,Banyakkan eror,05/09/2022 06:13,Banyakkan eror,Lots of error
62,Rikza Muzaqi Channel,Bagus cepet respon,05/09/2022 02:42,Bagus cepet respon,Good fast response
63,Oetjip BM,Ini apk ko gk bisa di buka... Buruk,01/09/2022 02:12,Ini apk ko gk bisa di buka... Buruk,This apk how come it can't be opened ... bad
64,Jumadul (Dul),"Semoga bermanfaat buat Indonesia hebat , Insya Allah",30/08/2022 13:23,"Semoga bermanfaat buat Indonesia hebat , Insya Allah","Hopefully useful for Indonesia's great, God willing"
65,Nicolas Bae,"Sudah 2tahun terakhir Makai aplikasi ini, Makin rame pengunjung,service nya makin eror,sudah capek-capek ngetik,gak bisa di kirim... Kurang besar keknya gaji pengurus sp4n lapor, Apa takut ada yang di laporkan karena kebobrokan???? Aplikasi tak ada guna Sangat TIDAK BERGUNA,service eror. Sampai tanggal 30-08-2022 ini...",30/08/2022 09:29,"Sudah tahun terakhir Makai aplikasi ini, Makin rame pengunjung,service nya makin eror,sudah capek-capek ngetik,gak bisa di kirim... Kurang besar keknya gaji pengurus sp4n lapor, Apa takut ada yang di laporkan karena kebobrokan???? Aplikasi tak ada guna Sangat TIDAK BERGUNA,service eror. Sampai tanggal $NUMBER$-2022 ini...","It's been the last year to make this application, the more crowded the visitors, the more error service, already tired of typing, can't be sent ... less large the salary of the SP4N management reports, is it afraid that someone will be reported because of the depravity ????There is no use very useless application, service error.Until this $ number $ -2022 ..."
66,Slamet Firman Arifin,Masih banyak bug,30/08/2022 09:05,Masih banyak bug,There are still many bugs
67,Arie Theodorus,"Aplikasi sialan, trus aja minta pasword alfanumerik",29/08/2022 09:50,"Aplikasi sialan, trus aja minta pasword alfanumerik","Broadcast application, keep asking for Alfanumeric passwords"
68,Robert Deniero,"Jika tidak bener"" Niat untuk melayani laporan via aplikasi, baiknya ga usah di buat pak, laporan mau di kirim asyik eror terus. Habisin anggaran negara aja klean",29/08/2022 08:23,"Jika tidak bener"" Niat untuk melayani laporan via aplikasi, baiknya ga usah di buat pak, laporan mau di kirim asyik eror terus. Habisin anggaran negara aja klean","If it is not true ""intention to serve reports via application, you should not have to make it, sir, the report wants to be sent fun error."
69,Zoryadi,Belum di coba,27/08/2022 07:54,Belum di coba,Not yet tried
70,Faraya,"Lapor versi web Lancar. Lapor versi Aplikasi selalu tertulis ""server eror"" ketika mengirim aduan!!",26/08/2022 23:58,"Lapor versi web Lancar. Lapor versi Aplikasi selalu tertulis ""server eror"" ketika mengirim aduan!!","Report the web version smoothly.Report the application version always written ""Server Error"" when sending complaints !!"
71,SARWONO MDJ,Y ok,26/08/2022 04:11,Y ok,Y ok
72,Yulius Junior,Nah coba begini kan jadi enak aja kalau kita sebagai masyarakatau melaporkan sesuatu. Terkait pemerintahan dll. Pelanggaran hukum dll. Update terus min. Daerah saya sangat butuh ini aplikasi.! Salam dari perbatasan KALTIM-MALAISYA #LONGAPARI,24/08/2022 14:44,Nah coba begini kan jadi enak aja kalau kita sebagai masyarakatau melaporkan sesuatu. Terkait pemerintahan dll. Pelanggaran hukum dll. Update terus min. Daerah saya sangat butuh ini aplikasi.! Salam dari perbatasan KALTIM-MALAISYA,Now try this so it's just delicious if we as community or report something.Related to government etc.Violation of law etc.Keep updating min.My area really needs this application.Greetings from the East Kalimantan-Malaisya border
73,rikky sahel ilyasa,"Jangan sampai ini aplikasi useless, pake duit rakyat ini..aplikasi ini bagus dan manfaat, ngeri amat makan duit gede aplikasi ini tp klw aplikasinya bener² ga berfungsi, makin parah indonesia",24/08/2022 00:05,"Jangan sampai ini aplikasi useless, pake duit rakyat ini..aplikasi ini bagus dan manfaat, ngeri amat makan duit gede aplikasi ini tp klw aplikasinya bener ga berfungsi, makin parah indonesia","Do not let this useless application, use this people's money ... this application is good and benefits, horrified very, eating big money this application but the application is really not functioning, the worse Indonesia"
74,AHMAD JAMIL,Aplikasi yg bagus untuk kritikan dan pengaduan..walaupun prosesnya lambat tapi bisa jadi perbaikan untuk instansi terkait,23/08/2022 17:55,Aplikasi yg bagus untuk kritikan dan pengaduan..walaupun prosesnya lambat tapi bisa jadi perbaikan untuk instansi terkait,Good application for criticism and complaints ... even though the process is slow but it can be an improvement for the relevant agencies
75,Abdullah Rifqi,Tidak bisa download gambar bukti hasil tindak lanjut pengaduan,23/08/2022 08:39,Tidak bisa download gambar bukti hasil tindak lanjut pengaduan,Cannot download images of proof of the results of the follow -up complaint
76,diskominsta magelang,Aduan direspon dengan cepat Melapor jadi semakin mudah,23/08/2022 07:16,Aduan direspon dengan cepat Melapor jadi semakin mudah,Complaints responded quickly to report so it is easier
77,Boy Manurung,perlu ditingkatkan lagi aplikasinya agar lebih baik.,19/08/2022 16:57,perlu ditingkatkan lagi aplikasinya agar lebih baik.,the application needs to be improved to be better.
78,Bang Jampang,"Semoga bisa membantu, jangan salah sasaran, kenapa tiba 2 keluar aplikasi sendiri?",17/08/2022 14:25,"Semoga bisa membantu, jangan salah sasaran, kenapa tiba keluar aplikasi sendiri?","Hope it can help, don't go wrong target, why come out of your own application?"
79,EVANS PHILIPS SINAMBELA,"Aplikasi mandul, tidak ada respon dari dinas PU kota dumai",12/08/2022 13:38,"Aplikasi mandul, tidak ada respon dari dinas PU kota dumai","Infertile application, there is no response from the Dumai City Public Works Agency"
80,Dian Surya Atmaja,23 hari lebih tidak dtanggapi (Kedeputian SDM Ap KemenPANRB). Tega betul ini kalian!!!,12/08/2022 02:30,hari lebih tidak dtanggapi (Kedeputian SDM Ap KemenPANRB). Tega betul ini kalian!!!,More days are not responded (Deputy Human Resources AP KemenpanRB).How can this you really !!!
81,Nur Sujanto,Mantul.,08/08/2022 15:15,Mantul.,Really good.
82,Lia Puspitasari2889,Tdk bs dftr dan login. Baru donlot sudah harus update kembali. Tolong perbaiki kembali performas aplikasinya.,08/08/2022 00:51,Tdk bs dftr dan login. Baru donlot sudah harus update kembali. Tolong perbaiki kembali performas aplikasinya.,Can't register and login.Just downloaded it must be updated again.Please repair the application performance again.
83,Desta R Susanto,"Kok bisa ya saya buat laporan dengan akun yg sudah saya registrasi dan laporan harus diverifikasi hari ini tiba"" Laporannya hilang dan akun kembali ke seperti buat baru luar biasa aplikasinya, jadi laporan saya kemarin hilang begitu saja",06/08/2022 17:22,"Kok bisa ya saya buat laporan dengan akun yg sudah saya registrasi dan laporan harus diverifikasi hari ini tiba"" Laporannya hilang dan akun kembali ke seperti buat baru luar biasa aplikasinya, jadi laporan saya kemarin hilang begitu saja",How come I made a report with the account that I have registered and the report must be verified today.
84,Weapon Lover,"Budeg semua instansinya, prcuma bayar pajak kalo instansi ga ndengerin keluhan. Pret",05/08/2022 06:37,"Budeg semua instansinya, prcuma bayar pajak kalo instansi ga ndengerin keluhan. Pret","Budeg all the institutions, prcuma pay taxes if the agency does not want a complaint.Pret"
85,Dark Cyber,"Saya kira bisa buat bantu jika ada kendala, bisa atasi semua masalah terkait program pemeritah. Tapi percuma buat laporan di sini gk menyelesaikan masalah, gak ada tidak lanjuti nya, cuma di trus kan. Dan laporan di tutup otomatis. Padahai belom selesai masalahnya. Hapus aja aplikasi nya gak guna sama sekali, kasihan org lain yg bner2 butuh buat laporan",02/08/2022 11:33,"Saya kira bisa buat bantu jika ada kendala, bisa atasi semua masalah terkait program pemeritah. Tapi percuma buat laporan di sini gk menyelesaikan masalah, gak ada tidak lanjuti nya, cuma di trus kan. Dan laporan di tutup otomatis. Padahai belom selesai masalahnya. Hapus aja aplikasi nya gak guna sama sekali, kasihan org lain yg bner2 butuh buat laporan","I think it can help if there are obstacles, can overcome all problems related to the government program.But it's useless for the report here it doesn't solve the problem, there is no not continued, just then.And reports on automatically closed.Padaii hasn't finished the problem yet.Just delete the application not at all, sorry for other people who need to make a report"
86,SAKTI SARAGI,"Sudah lapor sejak 4 hari, belum diverifikasi juga sama admin, tapi ada yg baru lapor langsung di verif si dodol ini",25/07/2022 13:55,"Sudah lapor sejak hari, belum diverifikasi juga sama admin, tapi ada yg baru lapor langsung di verif si dodol ini","Already reported since the day, it has not been verified as well"
87,Pakde,Tak dapat digunakan sebagaimana mestinya.,21/07/2022 22:16,Tak dapat digunakan sebagaimana mestinya.,Cannot be used as it should.
88,Peng Peng,"Aplikasi nya ribet pake daftar segala , laporan data KTP harus ada pula, apakah pelapor akan di lindungi...",18/07/2022 19:32,"Aplikasi nya ribet pake daftar segala , laporan data KTP harus ada pula, apakah pelapor akan di lindungi...","The application is complicated using everything, KTP data report must be there too, whether the reporter will be protected ..."
89,Mad Yan,Verifikasi nya lama banget ya,18/07/2022 04:25,Verifikasi nya lama banget ya,The verification is really long
90,E mail Ku,Bagus mau mencoba,16/07/2022 17:52,Bagus mau mencoba,Good want to try
91,Robby Kausar,"Mau lapor, gk bsa lapor, server internal error,",13/07/2022 05:23,"Mau lapor, gk bsa lapor, server internal error,","Want to report, can't report, internal server error,"
92,galih saputra,Tidak bisa login,06/07/2022 10:35,Tidak bisa login,Can not login
93,najib muhammad,"Aplikasi gak jelas, masak baru registrasi lalu saya pakai login tidak bisa",06/07/2022 10:29,"Aplikasi gak jelas, masak baru registrasi lalu saya pakai login tidak bisa","The application is not clear, just cook the registration then I use the login can't"
94,Danang Wijayanto90,Sistem pengaduan online sangat baik,05/07/2022 06:06,Sistem pengaduan online sangat baik,Online complaint system is very good
95,Fatoni Afrizal,kenapa y? aplikasi pemerintah selalu jelek gak bermutu apa karena gak ada yang pinter? atau karena orangnya pinter nilep buat pendaaan aplikasi jadinya jelek aplikasinya karena dana kurang,04/07/2022 05:41,kenapa y? aplikasi pemerintah selalu jelek gak bermutu apa karena gak ada yang pinter? atau karena orangnya pinter nilep buat pendaaan aplikasi jadinya jelek aplikasinya karena dana kurang,"Why y?What are the government applications are always bad, or not, because no one is smart?or because the person is smart nilep for the application of the application so the application is bad because the funds are lacking"
96,Safusi Lahagu,Suka banget,04/07/2022 02:48,Suka banget,Really like
97,Genk Olin Alya,Ok,03/07/2022 15:00,Ok,OK
98,Yusli hardiana Sapoetra,Percuma anda buat aplikasi ini. Jika error trs. Gak guna !!!,01/07/2022 16:21,Percuma anda buat aplikasi ini. Jika error trs. Gak guna !!!,It's useless to make this application.If the error Trs.Useless !!!
99,Rexson Imanuel Reke,Mantap,01/07/2022 05:44,Mantap,Great
100,Muhammad Ali Albalya,"Selalu mati servernya, takut sama pelapor",28/06/2022 06:43,"Selalu mati servernya, takut sama pelapor","Always die the server, afraid of the reporter"
101,ony viranata (plong),"server eror, mungkin risih dengan saran² yang kritis",24/06/2022 06:56,"server eror, mungkin risih dengan saran yang kritis","server error, may be uncomfortable with critical suggestions"
